"IDPROGRAMA","NAZIV","IDPREDMETA","NAZIV","OZNAKAROKA","SKGODINA","PROSECNAOCENA","BROJPOLAGANJA"
"103","Informatika","1578","Programiranje 1","jan1","2015","7.5760000000000000000000000","2"
"103","Informatika","1578","Programiranje 1","jan1","2016","7.1634615384615384615384615","2"
"103","Informatika","1578","Programiranje 1","jan1","2017","6.8358208955223880597014925","2"
"103","Informatika","1578","Programiranje 1","jan1","2018","7.5864661654135338345864661","2"
"103","Informatika","1578","Programiranje 1","jan1","2019","7.6916666666666666666666666","2"
"103","Informatika","1578","Programiranje 1","jan2","2015","5.6086956521739130434782608","2"
"103","Informatika","1578","Programiranje 1","jan2","2016","6.3589743589743589743589743","2"
"103","Informatika","1578","Programiranje 1","jan2","2017","5.6666666666666666666666666","2"
"103","Informatika","1578","Programiranje 1","jan2","2018","6.0833333333333333333333333","2"
"103","Informatika","1578","Programiranje 1","jan2","2019","6.9250000000000000000000000","2"
"103","Informatika","1578","Programiranje 1","jun1","2015","5.6428571428571428571428571","2"
"103","Informatika","1578","Programiranje 1","jun1","2016","5.9565217391304347826086956","2"
"103","Informatika","1578","Programiranje 1","jun1","2017","6.3529411764705882352941176","2"
"103","Informatika","1578","Programiranje 1","jun1","2018","6.1052631578947368421052631","2"
"103","Informatika","1578","Programiranje 1","jun1","2019","6.7058823529411764705882352","2"
"103","Informatika","1578","Programiranje 1","sep1","2015","5.2500000000000000000000000","2"
"103","Informatika","1578","Programiranje 1","sep1","2016","5.8000000000000000000000000","2"
"103","Informatika","1578","Programiranje 1","sep1","2017","5.4782608695652173913043478","2"
"103","Informatika","1578","Programiranje 1","sep1","2018","5.8571428571428571428571428","2"
"103","Informatika","1578","Programiranje 1","sep1","2019","5.7500000000000000000000000","2"
"103","Informatika","1578","Programiranje 1","sep2","2019","6.0000000000000000000000000","2"
"103","Informatika","1578","Programiranje 1","sep3","2019","5.6666666666666666666666666","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan1","2015","7.5760000000000000000000000","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan1","2016","7.1634615384615384615384615","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan1","2017","6.8358208955223880597014925","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan1","2018","7.5864661654135338345864661","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan1","2019","7.6916666666666666666666666","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan2","2015","5.6086956521739130434782608","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan2","2016","6.3589743589743589743589743","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan2","2017","5.6666666666666666666666666","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan2","2018","6.0833333333333333333333333","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jan2","2019","6.9250000000000000000000000","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jun1","2015","5.6428571428571428571428571","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jun1","2016","5.9565217391304347826086956","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jun1","2017","6.3529411764705882352941176","2"
"104","Astronomija i astrofizika","1578","Programiranje 1","jun1","2018","6.1052631578947368421052631","2"
