IDPROGRAMA,NAZIV,IDPREDMETA,NAZIVPREDMETA,OZNAKAROKA,SKGODINA,PROSECNAOCENA,BROJPOLAGANJA
103,"Informatika",1578,"Programiranje 1","jan1",2015,7.576,2
103,"Informatika",1578,"Programiranje 1","jan1",2016,7.163,2
103,"Informatika",1578,"Programiranje 1","jan1",2017,6.836,2
103,"Informatika",1578,"Programiranje 1","jan1",2018,7.586,2
103,"Informatika",1578,"Programiranje 1","jan1",2019,7.692,2
103,"Informatika",1578,"Programiranje 1","jan2",2015,5.609,2
103,"Informatika",1578,"Programiranje 1","jan2",2016,6.359,2
103,"Informatika",1578,"Programiranje 1","jan2",2017,5.667,2
103,"Informatika",1578,"Programiranje 1","jan2",2018,6.083,2
103,"Informatika",1578,"Programiranje 1","jan2",2019,6.925,2
103,"Informatika",1578,"Programiranje 1","jun1",2015,5.643,2
103,"Informatika",1578,"Programiranje 1","jun1",2016,5.957,2
103,"Informatika",1578,"Programiranje 1","jun1",2017,6.353,2
103,"Informatika",1578,"Programiranje 1","jun1",2018,6.105,2
103,"Informatika",1578,"Programiranje 1","jun1",2019,6.706,2
103,"Informatika",1578,"Programiranje 1","sep1",2015,5.250,2
103,"Informatika",1578,"Programiranje 1","sep1",2016,5.800,2
103,"Informatika",1578,"Programiranje 1","sep1",2017,5.478,2
103,"Informatika",1578,"Programiranje 1","sep1",2018,5.857,2
103,"Informatika",1578,"Programiranje 1","sep1",2019,5.750,2
103,"Informatika",1578,"Programiranje 1","sep2",2019,6.000,2
103,"Informatika",1578,"Programiranje 1","sep3",2019,5.667,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan1",2015,7.576,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan1",2016,7.163,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan1",2017,6.836,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan1",2018,7.586,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan1",2019,7.692,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan2",2015,5.609,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan2",2016,6.359,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan2",2017,5.667,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan2",2018,6.083,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jan2",2019,6.925,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jun1",2015,5.643,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jun1",2016,5.957,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jun1",2017,6.353,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jun1",2018,6.105,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","jun1",2019,6.706,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep1",2015,5.250,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep1",2016,5.800,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep1",2017,5.478,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep1",2018,5.857,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep1",2019,5.750,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep2",2019,6.000,2
104,"Astronomija i astrofizika",1578,"Programiranje 1","sep3",2019,5.667,2
103,"Informatika",1580,"Diskretne strukture 1","jan1",2015,6.000,2
103,"Informatika",1580,"Diskretne strukture 1","jan1",2016,5.756,2
103,"Informatika",1580,"Diskretne strukture 1","jan1",2017,7.000,2
103,"Informatika",1580,"Diskretne strukture 1","jan1",2018,6.612,2
103,"Informatika",1580,"Diskretne strukture 1","jan1",2019,5.909,2
103,"Informatika",1580,"Diskretne strukture 1","jan2",2015,6.804,2
103,"Informatika",1580,"Diskretne strukture 1","jan2",2016,6.628,2
103,"Informatika",1580,"Diskretne strukture 1","jan2",2017,6.105,2
103,"Informatika",1580,"Diskretne strukture 1","jan2",2018,6.042,2
103,"Informatika",1580,"Diskretne strukture 1","jan2",2019,6.129,2
103,"Informatika",1580,"Diskretne strukture 1","jun1",2015,6.241,2
103,"Informatika",1580,"Diskretne strukture 1","jun1",2016,5.733,2
103,"Informatika",1580,"Diskretne strukture 1","jun1",2017,5.786,2
103,"Informatika",1580,"Diskretne strukture 1","jun1",2018,5.907,2
103,"Informatika",1580,"Diskretne strukture 1","jun1",2019,6.564,2
103,"Informatika",1580,"Diskretne strukture 1","sep1",2015,5.273,2
103,"Informatika",1580,"Diskretne strukture 1","sep1",2016,5.684,2
103,"Informatika",1580,"Diskretne strukture 1","sep1",2017,5.842,2
103,"Informatika",1580,"Diskretne strukture 1","sep1",2018,5.826,2
103,"Informatika",1580,"Diskretne strukture 1","sep1",2019,6.176,2
103,"Informatika",1580,"Diskretne strukture 1","sep2",2019,5.250,2
103,"Informatika",1580,"Diskretne strukture 1","sep3",2019,6.267,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan1",2015,6.000,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan1",2016,5.756,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan1",2017,7.000,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan1",2018,6.612,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan1",2019,5.909,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan2",2015,6.804,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan2",2016,6.628,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan2",2017,6.105,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan2",2018,6.042,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jan2",2019,6.129,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jun1",2015,6.241,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jun1",2016,5.733,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jun1",2017,5.786,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jun1",2018,5.907,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","jun1",2019,6.564,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep1",2015,5.273,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep1",2016,5.684,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep1",2017,5.842,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep1",2018,5.826,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep1",2019,6.176,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep2",2019,5.250,2
104,"Astronomija i astrofizika",1580,"Diskretne strukture 1","sep3",2019,6.267,2
103,"Informatika",1588,"Programiranje 2","janps",2019,6.000,3
103,"Informatika",1588,"Programiranje 2","jun1",2015,6.700,3
103,"Informatika",1588,"Programiranje 2","jun1",2016,6.909,3
103,"Informatika",1588,"Programiranje 2","jun1",2017,6.943,3
103,"Informatika",1588,"Programiranje 2","jun1",2018,6.796,3
103,"Informatika",1588,"Programiranje 2","jun1",2019,7.642,3
103,"Informatika",1588,"Programiranje 2","jun2",2015,6.333,3
103,"Informatika",1588,"Programiranje 2","jun2",2016,5.661,3
103,"Informatika",1588,"Programiranje 2","jun2",2017,5.462,3
103,"Informatika",1588,"Programiranje 2","jun2",2018,5.492,3
103,"Informatika",1588,"Programiranje 2","jun2",2019,7.345,3
103,"Informatika",1588,"Programiranje 2","sep1",2015,6.080,3
103,"Informatika",1588,"Programiranje 2","sep1",2016,5.825,3
103,"Informatika",1588,"Programiranje 2","sep1",2017,5.385,3
103,"Informatika",1588,"Programiranje 2","sep1",2018,5.298,3
103,"Informatika",1588,"Programiranje 2","sep1",2019,6.152,3
103,"Informatika",1588,"Programiranje 2","sep2",2015,5.353,3
103,"Informatika",1588,"Programiranje 2","sep2",2016,5.750,3
103,"Informatika",1588,"Programiranje 2","sep2",2017,5.619,3
103,"Informatika",1588,"Programiranje 2","sep2",2018,5.509,3
103,"Informatika",1588,"Programiranje 2","sep2",2019,5.632,3
103,"Informatika",1588,"Programiranje 2","sep3",2019,6.412,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","janps",2019,6.000,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun1",2015,6.700,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun1",2016,6.909,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun1",2017,6.943,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun1",2018,6.796,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun1",2019,7.642,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun2",2015,6.333,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun2",2016,5.661,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun2",2017,5.462,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun2",2018,5.492,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","jun2",2019,7.345,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep1",2015,6.080,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep1",2016,5.825,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep1",2017,5.385,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep1",2018,5.298,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep1",2019,6.152,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep2",2015,5.353,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep2",2016,5.750,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep2",2017,5.619,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep2",2018,5.509,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep2",2019,5.632,3
104,"Astronomija i astrofizika",1588,"Programiranje 2","sep3",2019,6.412,3
103,"Informatika",1590,"Diskretne strukture 2","janps",2019,6.000,2
103,"Informatika",1590,"Diskretne strukture 2","jun1",2015,6.447,2
103,"Informatika",1590,"Diskretne strukture 2","jun1",2016,6.423,2
103,"Informatika",1590,"Diskretne strukture 2","jun1",2017,6.795,2
103,"Informatika",1590,"Diskretne strukture 2","jun1",2018,6.669,2
103,"Informatika",1590,"Diskretne strukture 2","jun1",2019,7.545,2
103,"Informatika",1590,"Diskretne strukture 2","jun2",2015,5.609,2
103,"Informatika",1590,"Diskretne strukture 2","jun2",2016,6.370,2
103,"Informatika",1590,"Diskretne strukture 2","jun2",2017,5.967,2
103,"Informatika",1590,"Diskretne strukture 2","jun2",2018,6.606,2
103,"Informatika",1590,"Diskretne strukture 2","jun2",2019,6.464,2
103,"Informatika",1590,"Diskretne strukture 2","sep1",2015,5.480,2
103,"Informatika",1590,"Diskretne strukture 2","sep1",2016,5.727,2
103,"Informatika",1590,"Diskretne strukture 2","sep1",2017,5.680,2
103,"Informatika",1590,"Diskretne strukture 2","sep1",2018,6.333,2
103,"Informatika",1590,"Diskretne strukture 2","sep1",2019,6.824,2
103,"Informatika",1590,"Diskretne strukture 2","sep2",2015,5.500,2
103,"Informatika",1590,"Diskretne strukture 2","sep2",2016,5.727,2
103,"Informatika",1590,"Diskretne strukture 2","sep2",2017,5.625,2
103,"Informatika",1590,"Diskretne strukture 2","sep2",2018,6.000,2
103,"Informatika",1590,"Diskretne strukture 2","sep2",2019,6.464,2
103,"Informatika",1590,"Diskretne strukture 2","sep3",2019,6.600,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","janps",2019,6.000,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","jun1",2015,6.447,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","jun1",2016,6.423,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","jun1",2017,6.795,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","jun1",2018,6.669,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","jun1",2019,7.545,2
104,"Astronomija i astrofizika",1590,"Diskretne strukture 2","jun2",2015,5.609,2
