INDEKS,SKGODINA,OZNAKAROKA,BROJ_POLOZENIH_PREDMETA_U_DATOM_ROKU,PROSEK_STUDENTA_U_DATOM_ROKU_ZA_POLOZENE_ISPITE,PROSEK_STUDENTA
20150001,2015,jan1,3,8.33333333333333,7.77777777777778
20150001,2015,jun1,1,8,7.77777777777778
20150001,2015,jun2,1,10,7.77777777777778
20150001,2016,jan1,1,8,7.77777777777778
20150001,2016,jan2,2,7.5,7.77777777777778
20150001,2016,jun1,1,6,7.77777777777778
20150001,2016,jun2,2,7,7.77777777777778
20150001,2016,sep1,1,8,7.77777777777778
20150001,2016,sep2,1,7,7.77777777777778
20150001,2017,jan1,1,6,7.77777777777778
20150001,2017,jun1,2,7.5,7.77777777777778
20150001,2017,jun2,1,7,7.77777777777778
20150001,2017,sep1,1,6,7.77777777777778
20150001,2017,sep2,1,6,7.77777777777778
20150001,2018,jan1,1,8,7.77777777777778
20150001,2018,jan2,2,9,7.77777777777778
20150001,2018,jun1,3,8.33333333333333,7.77777777777778
20150001,2018,sep1,1,8,7.77777777777778
20150001,2018,sep2,2,6,7.77777777777778
20150001,2019,jan1,1,9,7.77777777777778
20150001,2019,jan2,2,8,7.77777777777778
20150001,2019,jun1,1,6,7.77777777777778
20150001,2019,jun2,1,9,7.77777777777778
20150001,2019,sep1,2,9,7.77777777777778
20150001,2019,sep3,1,10,7.77777777777778
20150002,2015,jan1,1,10,7.33333333333333
20150002,2015,jun1,1,6,7.33333333333333
20150002,2016,sep1,1,6,7.33333333333333
20150003,2015,jan1,2,8.5,7.18918918918919
20150003,2015,jan2,1,6,7.18918918918919
20150003,2015,sep1,1,6,7.18918918918919
20150003,2015,sep2,1,6,7.18918918918919
20150003,2016,jan2,2,7,7.18918918918919
20150003,2016,jun1,3,7.33333333333333,7.18918918918919
20150003,2016,sep1,1,8,7.18918918918919
20150003,2016,sep2,2,7,7.18918918918919
20150003,2017,jan1,1,10,7.18918918918919
20150003,2017,jan2,1,8,7.18918918918919
20150003,2017,jun1,1,7,7.18918918918919
20150003,2017,jun2,2,7,7.18918918918919
20150003,2018,jan2,1,7,7.18918918918919
20150003,2018,jun2,2,7,7.18918918918919
20150003,2018,sep1,2,6,7.18918918918919
20150003,2018,sep2,1,6,7.18918918918919
20150003,2019,jan1,2,6.5,7.18918918918919
20150003,2019,jan2,4,7,7.18918918918919
20150003,2019,jun1,3,9,7.18918918918919
20150003,2019,sep1,1,6,7.18918918918919
20150003,2019,sep2,2,7.5,7.18918918918919
20150003,2019,sep3,1,6,7.18918918918919
