INDEKS,IDPREDMETA, DOBIJENAOCENA,SKGODINA,OZNAKAROKA,KOLIKOPUTAJEUPISANPREDMET, PROSEK,BROJSESTICA,BROJSEDMICA, BROJOSMICA,BROJDEVETKI, BROJDESETKI
20150107,1595,8,2015,jan1,1,6.9,17,14,6,2,1
20150090,1578,8,2015,jan1,1,7.72093023255814,7,14,11,6,5
20150090,1580,8,2015,jan1,2,7.72093023255814,7,14,11,6,5
20150090,2170,7,2015,jan1,1,7.72093023255814,7,14,11,6,5
20150090,2171,7,2015,jan1,1,7.72093023255814,7,14,11,6,5
20150090,2174,10,2015,jan1,1,7.72093023255814,7,14,11,6,5
20150049,1594,10,2015,jan1,2,8.72972972972973,2,5,5,14,11
20150049,1595,10,2015,jan1,2,8.72972972972973,2,5,5,14,11
20150049,2168,10,2015,jan1,1,8.72972972972973,2,5,5,14,11
20150320,1578,8,2015,jan1,1,6.94736842105263,9,5,3,1,1
20150320,2174,10,2015,jan1,1,6.94736842105263,9,5,3,1,1
20150185,1595,10,2015,jan1,2,7.96428571428571,7,4,7,3,7
20150185,2168,10,2015,jan1,1,7.96428571428571,7,4,7,3,7
20150230,1578,7,2015,jan1,1,7.925,7,8,13,5,7
20150230,1580,5,2015,jan1,2,7.925,7,8,13,5,7
20150230,2170,7,2015,jan1,1,7.925,7,8,13,5,7
20150230,2174,10,2015,jan1,1,7.925,7,8,13,5,7
20150177,1594,5,2015,jan1,3,7.65,3,7,5,4,1
20150177,1595,7,2015,jan1,2,7.65,3,7,5,4,1
20150177,2168,10,2015,jan1,1,7.65,3,7,5,4,1
20150135,1594,7,2015,jan1,2,7.79310344827586,5,9,7,3,5
20150135,1595,8,2015,jan1,2,7.79310344827586,5,9,7,3,5
20150135,2168,10,2015,jan1,1,7.79310344827586,5,9,7,3,5
20150357,1595,9,2015,jan1,2,9.15,2,3,4,9,22
20150357,2168,10,2015,jan1,1,9.15,2,3,4,9,22
20150250,1578,9,2015,jan1,1,8.95238095238095,1,3,7,17,14
20150250,2170,9,2015,jan1,1,8.95238095238095,1,3,7,17,14
20150390,1595,9,2015,jan1,2,7.6,8,10,15,4,3
20150390,2168,10,2015,jan1,1,7.6,8,10,15,4,3
20150154,2170,10,2015,jan1,1,7.92682926829268,10,4,13,7,7
20150154,2171,10,2015,jan1,2,7.92682926829268,10,4,13,7,7
20150154,2174,10,2015,jan1,1,7.92682926829268,10,4,13,7,7
20150367,1594,8,2015,jan1,2,8.75,1,4,12,10,13
20150367,1595,10,2015,jan1,2,8.75,1,4,12,10,13
20150367,2168,10,2015,jan1,1,8.75,1,4,12,10,13
20150300,1578,9,2015,jan1,1,7.7906976744186,9,10,11,7,6
20150300,1580,5,2015,jan1,2,7.7906976744186,9,10,11,7,6
20150300,2170,9,2015,jan1,1,7.7906976744186,9,10,11,7,6
20150300,2171,8,2015,jan1,2,7.7906976744186,9,10,11,7,6
20150300,2174,10,2015,jan1,1,7.7906976744186,9,10,11,7,6
20150370,1595,9,2015,jan1,2,7.64102564102564,8,13,8,5,5
20150370,2168,10,2015,jan1,1,7.64102564102564,8,13,8,5,5
20150302,1594,7,2015,jan1,2,7.14285714285714,8,6,4,2,1
20150302,1595,5,2015,jan1,2,7.14285714285714,8,6,4,2,1
20150302,2168,10,2015,jan1,1,7.14285714285714,8,6,4,2,1
20150405,1578,10,2015,jan1,1,8.7948717948718,3,2,8,13,13
20150405,2170,8,2015,jan1,1,8.7948717948718,3,2,8,13,13
20150405,2171,9,2015,jan1,2,8.7948717948718,3,2,8,13,13
20150405,2174,10,2015,jan1,1,8.7948717948718,3,2,8,13,13
20150280,1594,10,2015,jan1,2,9.21212121212121,1,3,5,3,21
20150280,1595,10,2015,jan1,1,9.21212121212121,1,3,5,3,21
20150280,2168,10,2015,jan1,1,9.21212121212121,1,3,5,3,21
20150274,1594,5,2015,jan1,6,7.12903225806452,10,12,5,3,1
20150274,1595,7,2015,jan1,2,7.12903225806452,10,12,5,3,1
20150274,2168,9,2015,jan1,2,7.12903225806452,10,12,5,3,1
20150397,1578,10,2015,jan1,1,9.02380952380952,2,3,7,10,20
20150397,2170,8,2015,jan1,1,9.02380952380952,2,3,7,10,20
20150397,2174,10,2015,jan1,1,9.02380952380952,2,3,7,10,20
20150080,1594,5,2015,jan1,2,6.91304347826087,13,4,3,1,2
20150080,1595,5,2015,jan1,3,6.91304347826087,13,4,3,1,2
20150138,1578,10,2015,jan1,1,8.5,3,7,8,14,10
20150138,2170,7,2015,jan1,1,8.5,3,7,8,14,10
20150138,2174,9,2015,jan1,1,8.5,3,7,8,14,10
20150143,1578,9,2015,jan1,1,7.91891891891892,6,10,9,5,7
20150143,1580,5,2015,jan1,2,7.91891891891892,6,10,9,5,7
20150143,2170,5,2015,jan1,3,7.91891891891892,6,10,9,5,7
20150143,2171,8,2015,jan1,1,7.91891891891892,6,10,9,5,7
20150143,2174,9,2015,jan1,1,7.91891891891892,6,10,9,5,7
20150226,1578,9,2015,jan1,1,7.30769230769231,6,1,3,2,1
20150226,2170,5,2015,jan1,3,7.30769230769231,6,1,3,2,1
20150226,2171,8,2015,jan1,2,7.30769230769231,6,1,3,2,1
20150226,2174,9,2015,jan1,1,7.30769230769231,6,1,3,2,1
20150174,1578,7,2015,jan1,1,7.2,12,5,9,3,1
20150174,1580,6,2015,jan1,2,7.2,12,5,9,3,1
20150174,2170,7,2015,jan1,1,7.2,12,5,9,3,1
20150174,2171,5,2015,jan1,2,7.2,12,5,9,3,1
20150174,2174,9,2015,jan1,1,7.2,12,5,9,3,1
20150336,1594,10,2015,jan1,2,8.725,4,5,6,8,17
20150336,1595,10,2015,jan1,2,8.725,4,5,6,8,17
20150336,2168,10,2015,jan1,1,8.725,4,5,6,8,17
20150341,2168,8,2015,jan1,1,7.35294117647059,4,6,5,1,1
20150425,1595,9,2015,jan1,2,7.64705882352941,6,11,10,3,4
20150425,2168,10,2015,jan1,1,7.64705882352941,6,11,10,3,4
20150147,1578,8,2015,jan1,1,8.16666666666667,2,3,5,6,2
20150147,2170,7,2015,jan1,1,8.16666666666667,2,3,5,6,2
20150147,2174,9,2015,jan1,1,8.16666666666667,2,3,5,6,2
20150363,1594,6,2015,jan1,2,7.97368421052632,7,8,9,7,7
20150363,1595,8,2015,jan1,2,7.97368421052632,7,8,9,7,7
20150363,2168,10,2015,jan1,1,7.97368421052632,7,8,9,7,7
20150154,1578,10,2015,jan1,2,7.92682926829268,10,4,13,7,7
20150048,1594,7,2015,jan1,2,8.10526315789474,10,3,8,7,10
20150048,1595,5,2015,jan1,2,8.10526315789474,10,3,8,7,10
20150048,2168,9,2015,jan1,2,8.10526315789474,10,3,8,7,10
20150329,1594,10,2015,jan1,1,7.94594594594595,4,12,9,6,6
20150329,2168,10,2015,jan1,1,7.94594594594595,4,12,9,6,6
20150180,1594,8,2015,jan1,2,8.29032258064516,3,5,10,6,7
20150180,1595,8,2015,jan1,2,8.29032258064516,3,5,10,6,7
20150180,2168,9,2015,jan1,1,8.29032258064516,3,5,10,6,7
20150157,1595,9,2015,jan1,2,7.3,13,13,5,7,2
20150157,2168,10,2015,jan1,1,7.3,13,13,5,7,2
20150030,1578,10,2015,jan1,1,8.66666666666667,3,3,12,11,13
20150030,1580,5,2015,jan1,2,8.66666666666667,3,3,12,11,13
20150030,2170,8,2015,jan1,1,8.66666666666667,3,3,12,11,13
20150030,2171,8,2015,jan1,2,8.66666666666667,3,3,12,11,13
20150030,2174,9,2015,jan1,1,8.66666666666667,3,3,12,11,13
20150104,1594,6,2015,jan1,2,7.30952380952381,8,22,4,7,1
20150104,1595,9,2015,jan1,2,7.30952380952381,8,22,4,7,1
20150104,2168,10,2015,jan1,2,7.30952380952381,8,22,4,7,1
20150054,1578,10,2015,jan1,1,8.86842105263158,2,2,6,17,11
20150054,1580,9,2015,jan1,1,8.86842105263158,2,2,6,17,11
20150054,2171,9,2015,jan1,2,8.86842105263158,2,2,6,17,11
20150054,2174,10,2015,jan1,1,8.86842105263158,2,2,6,17,11
20150054,2175,10,2015,jan1,1,8.86842105263158,2,2,6,17,11
20150414,1578,10,2015,jan1,1,7.54761904761905,13,10,8,5,6
20150414,1580,5,2015,jan1,2,7.54761904761905,13,10,8,5,6
20150414,2170,6,2015,jan1,1,7.54761904761905,13,10,8,5,6
20150414,2174,10,2015,jan1,1,7.54761904761905,13,10,8,5,6
20150088,1594,7,2015,jan1,2,7.65714285714286,6,9,13,5,2
20150088,1595,7,2015,jan1,1,7.65714285714286,6,9,13,5,2
20150088,2168,9,2015,jan1,1,7.65714285714286,6,9,13,5,2
20150046,1595,9,2015,jan1,2,9,2,2,4,16,14
20150046,2168,10,2015,jan1,1,9,2,2,4,16,14
20150385,1595,10,2015,jan1,2,8.07692307692308,8,9,5,6,11
20150385,2168,10,2015,jan1,1,8.07692307692308,8,9,5,6,11
20150011,1578,9,2015,jan1,1,8.04761904761905,7,8,9,12,6
20150011,1580,9,2015,jan1,2,8.04761904761905,7,8,9,12,6
20150011,2170,8,2015,jan1,1,8.04761904761905,7,8,9,12,6
20150011,2171,9,2015,jan1,2,8.04761904761905,7,8,9,12,6
20150011,2174,10,2015,jan1,1,8.04761904761905,7,8,9,12,6
20150256,1594,9,2015,jan1,2,8.39393939393939,3,5,8,10,7
20150256,1595,9,2015,jan1,2,8.39393939393939,3,5,8,10,7
20150256,2168,10,2015,jan1,1,8.39393939393939,3,5,8,10,7
20150008,1595,10,2015,jan1,2,8.85714285714286,3,3,5,9,15
20150008,2168,10,2015,jan1,1,8.85714285714286,3,3,5,9,15
20150328,1594,7,2015,jan1,2,8.3,5,6,10,10,9
20150328,1595,6,2015,jan1,2,8.3,5,6,10,10,9
20150328,2168,9,2015,jan1,1,8.3,5,6,10,10,9
20150416,1594,9,2015,jan1,2,8.05882352941176,7,6,9,2,10
20150416,1595,10,2015,jan1,1,8.05882352941176,7,6,9,2,10
20150416,2168,10,2015,jan1,1,8.05882352941176,7,6,9,2,10
20150381,1595,7,2015,jan1,2,7.29411764705882,13,10,4,2,5
